true_label,Acipenser ruthenus,Acropora millepora,Anguilla rostrata,Astatotilapia calliptera,Astyanax mexicanus,Biomphalaria glabrata,Brienomyrus brachyistius,Bubalus bubalis,Callithrix jacchus,Carassius gibelio,Cavia porcellus,Cervus canadensis,Choloepus didactylus,Clarias gariepinus,Clupea harengus,Conger conger,Crassostrea virginica,Ctenopharyngodon idella,Dasypus novemcinctus,Dreissena polymorpha,Elephas maximus indicus,Engraulis encrasicolus,Esox lucius,Fundulus heteroclitus,Gambusia affinis,Girardinichthys multiradiatus,Gopherus evgoodei,Haliotis rufescens,Hemicordylus capensis,Hippopotamus amphibius kiboko,Homo sapiens,Hoplias malabaricus,Ictalurus furcatus,Larimichthys crocea,Lates calcarifer,Lingula anatina,Lutra lutra,Macaca fascicularis,Manis pentadactyla,Mauremys reevesii,Melanotaenia boesemani,Mercenaria mercenaria,Micropterus dolomieu,Monodelphis domestica,Mus musculus,Mya arenaria,Mytilus trossulus,Necator americanus,Neoarius graeffei,Nycticebus coucang,Pangasianodon hypophthalmus,Panthera leo,Pimephales promelas,Pocillopora verrucosa,Pygocentrus nattereri,Rhineura floridana,Salvelinus sp. IW2-2015,Scleropages formosus,Sebastes umbrosus,Siniperca chuatsi,Strongylocentrotus purpuratus,Symphalangus syndactylus,Triplophysa dalaica,Xyrauchen texanus,Zalophus californianus
Acipenser ruthenus,22,0,0,1,1,1,4,0,0,9,0,0,0,0,2,1,0,3,0,1,0,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,4,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,2,2,6,0
Acropora millepora,0,8,0,0,0,1,1,0,0,6,1,0,0,0,0,0,1,2,0,4,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,4,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0
Anguilla rostrata,8,3,0,2,1,0,3,0,0,5,0,0,0,1,2,0,0,1,0,2,0,0,1,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,2,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,3,0
Astatotilapia calliptera,6,1,0,1,0,0,0,0,0,11,0,1,0,1,0,0,1,1,0,0,0,0,0,0,2,1,0,3,1,1,0,0,0,1,5,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,7,1
Astyanax mexicanus,6,0,1,0,5,0,2,1,0,10,0,0,0,1,1,0,0,3,0,1,0,0,0,1,1,0,0,0,2,1,0,1,0,2,2,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,2,0,1,0,1,0,0,1,3,0,0
Biomphalaria glabrata,2,0,0,1,2,8,1,0,0,5,0,0,0,0,1,0,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,7,1,0,0,4,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Brienomyrus brachyistius,8,2,1,1,1,0,1,0,0,8,0,1,0,1,0,0,0,1,0,3,0,1,1,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,2,0,1,0,0,2,0,0,0,1,1,0,1,0,2,1,0,0,5,0
Bubalus bubalis,2,0,0,1,0,1,0,2,1,2,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,2,0,0,0,0,0,1,3,4,4,0,0,0,0,3,1,1,0,0,3,0,1,0,0,1,0,0,0,0,0,0,4,0,3,1
Callithrix jacchus,0,0,1,0,0,0,1,2,2,3,0,1,0,1,1,0,0,0,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,3,3,0,0,0,0,0,6,0,2,1,0,3,0,2,0,0,1,2,1,0,0,0,0,8,0,1,3
Carassius gibelio,8,2,1,2,6,0,4,0,0,19,0,0,0,2,1,1,0,1,0,4,0,2,2,0,0,1,0,1,1,0,0,1,1,0,0,2,0,0,0,1,1,2,0,0,2,1,1,0,0,0,0,0,0,2,0,0,0,0,1,1,1,1,1,3,0
Cavia porcellus,1,0,0,0,0,0,1,2,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,5,1,3,0,0,0,4,3,0,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,3,0,0,3
Cervus canadensis,2,0,0,1,0,0,1,3,0,0,0,1,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,1,3,4,1,1,0,0,4,0,0,1,0,0,5,0,1,0,0,0,1,0,0,0,0,0,3,0,0,4
Choloepus didactylus,2,0,0,0,0,0,1,2,1,2,0,2,1,0,0,0,1,0,3,0,1,1,0,0,0,0,1,0,1,2,2,1,0,0,0,0,0,0,3,2,0,0,0,0,3,1,1,1,0,1,1,2,0,0,0,2,1,1,1,0,2,1,0,0,2
Clarias gariepinus,6,0,1,1,1,1,0,0,0,6,0,0,0,0,1,0,0,0,0,1,1,2,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,3,1,0,2,1,1,0,1,0,4,0
Clupea harengus,7,2,2,0,0,2,2,0,0,5,0,0,0,2,1,0,2,2,0,0,1,0,1,0,0,0,1,3,2,0,2,1,0,0,1,1,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0
Conger conger,9,0,1,0,1,0,1,1,1,5,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,2,0,2,1,0,0,0,0,2,1,0,1,0,0,0,1,1,0,3,0
Crassostrea virginica,2,2,0,0,0,1,1,0,0,4,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,8,4,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0
Ctenopharyngodon idella,9,1,0,0,2,1,0,0,0,8,0,0,0,0,1,1,0,3,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,2,0,0,0,4,3,1,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,4,0
Dasypus novemcinctus,3,0,0,1,0,0,1,0,4,2,1,0,2,0,0,0,0,0,2,0,3,0,0,0,0,0,1,0,2,0,4,0,0,0,0,0,0,2,1,0,1,1,0,1,5,0,0,0,1,1,0,1,1,0,0,2,0,0,0,0,0,1,0,1,1
Dreissena polymorpha,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,12,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0,0,0,17,0,0,0,10,8,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,0
Elephas maximus indicus,1,0,0,0,0,0,1,1,2,3,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,4,0,0,0,0,1,0,0,4,3,2,0,0,0,3,2,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,5,0,0,0
Engraulis encrasicolus,8,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,1,0,0,1,0,0,2,0,0,2,1,0,1,1,0,0,0,0,0,6,0
Esox lucius,8,0,1,3,0,2,0,1,0,6,0,1,1,0,0,0,1,3,1,3,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,1,1,1,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,5,0
Fundulus heteroclitus,5,0,1,4,2,0,3,1,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,1,1,0,2,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,1,0
Gambusia affinis,6,0,1,2,1,1,1,0,0,13,0,0,0,0,1,0,1,3,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
Girardinichthys multiradiatus,6,1,0,0,1,1,2,0,0,11,0,0,0,0,1,0,0,1,0,2,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,2,0
Gopherus evgoodei,4,0,0,0,0,0,1,2,0,3,0,2,3,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,3,1,0,0,0,0,0,0,0,2,1,7,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0
Haliotis rufescens,4,3,0,1,1,0,2,0,0,5,0,0,0,0,0,1,1,0,0,1,1,2,1,1,0,0,0,11,1,0,0,0,1,0,0,2,0,0,0,0,0,3,0,0,0,3,0,1,1,0,0,0,0,0,0,0,1,2,1,0,0,0,1,5,0
Hemicordylus capensis,5,0,0,1,0,0,1,2,2,3,1,0,2,0,0,0,0,0,2,0,1,1,0,0,0,0,1,0,14,1,1,0,0,0,0,0,0,2,2,1,0,0,0,0,4,0,1,1,1,0,0,1,0,0,2,1,0,0,0,0,0,0,0,2,3
Hippopotamus amphibius kiboko,1,0,0,0,1,0,1,2,4,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,4,0,4,1,4,0,0,0,0,0,1,2,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,7,0,0,1
Homo sapiens,0,0,0,0,0,1,0,2,4,1,1,3,1,0,2,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,3,0,0,0,0,0,1,4,1,0,0,0,0,2,3,0,0,0,0,7,0,2,0,0,0,2,0,1,0,0,0,2,0,1,2
Hoplias malabaricus,8,0,0,0,5,0,1,0,1,11,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,2,1,0,1,0,0,0,0,0,1,0,0,0,3,0,1,1,0,0,0,0,0,0,0
Ictalurus furcatus,9,0,0,1,0,0,1,0,0,7,0,0,0,0,1,1,1,1,0,0,0,1,0,2,0,0,0,2,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,2,1,2,0,0,0,1,0,0,0,0,0,0,0,0,4,0
Larimichthys crocea,6,0,0,3,1,0,0,0,0,11,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,3,1,0,0,0,2,0
Lates calcarifer,10,1,0,1,1,2,1,1,0,5,0,1,0,0,2,0,0,0,0,0,0,0,0,1,1,1,0,4,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,2,1,0,1,0,0,0,4,0
Lingula anatina,6,4,0,0,0,2,2,0,0,5,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,8,0,0,0,4,2,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,3,0
Lutra lutra,1,0,1,0,0,0,2,2,1,3,1,0,1,0,0,0,0,0,3,0,2,0,0,0,0,0,1,0,1,2,1,0,0,0,0,1,3,1,3,0,0,0,0,1,3,0,0,0,1,1,0,0,0,1,0,4,0,0,0,0,0,2,0,2,0
Macaca fascicularis,5,0,0,0,0,0,1,6,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,4,2,0,0,0,0,0,2,4,1,2,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,4,0,1,1
Manis pentadactyla,2,0,1,0,0,0,1,2,4,2,0,1,1,0,0,0,0,1,2,0,3,0,0,0,0,1,1,1,2,2,1,0,0,0,0,0,1,1,3,0,0,0,0,0,4,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,5,0,1,3
Mauremys reevesii,7,0,0,2,0,0,1,1,2,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,3,1,3,1,3,0,0,0,0,0,1,1,1,9,0,0,1,0,2,0,0,0,1,2,0,0,0,0,0,2,1,0,0,0,0,2,0,2,1
Melanotaenia boesemani,4,2,0,2,1,1,2,0,0,15,0,0,0,0,0,0,0,2,1,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,1,0,5,0
Mercenaria mercenaria,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,1,2,0,7,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,14,0,1,0,14,15,1,0,0,0,0,0,1,0,0,1,1,0,0,2,0,0,0,0
Micropterus dolomieu,7,0,0,1,1,0,1,0,1,7,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,2,0,3,1,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,4,0
Monodelphis domestica,2,0,0,0,0,0,0,1,1,1,0,2,3,0,0,0,0,1,2,1,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,2,0,1,2,0,0,0,5,6,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,2,0,0,2
Mus musculus,0,0,0,0,0,0,0,4,4,5,0,1,3,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,5,0,2,0,0,0,0,0,0,3,1,1,0,0,0,2,8,0,0,1,0,3,0,0,0,0,0,0,0,0,1,1,0,5,0,1,3
Mya arenaria,2,4,0,0,1,0,0,0,0,3,0,0,0,0,0,1,2,1,0,5,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,17,0,0,2,12,6,4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0
Mytilus trossulus,1,2,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0
Necator americanus,2,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,3,1,0,0,1,0,21,0,0,0,0,0,2,0,0,0,2,0,1,1,0,0,1,0
Neoarius graeffei,6,2,0,0,3,0,2,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,2,1,0,0,1,2,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,6,0
Nycticebus coucang,4,0,0,0,0,0,0,2,1,1,1,0,2,0,0,0,0,1,2,0,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,5,1,2,0,0,0,5,2,0,1,0,0,0,0,0,0,1,0,1,0,2,0,0,0,4,0,2,3
Pangasianodon hypophthalmus,5,0,0,0,5,1,1,0,0,7,0,0,0,1,0,0,1,0,0,0,0,2,1,1,0,0,0,0,1,0,2,2,0,0,2,0,0,0,1,0,1,2,0,0,0,3,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,3,0
Panthera leo,0,0,0,0,0,0,2,1,2,2,2,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,3,2,0,0,0,0,1,0,0,0,3,0,0,0,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,5,0,2,3
Pimephales promelas,4,2,0,2,1,0,1,1,0,9,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,1,2,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,3,0
Pocillopora verrucosa,1,4,1,0,0,2,2,0,0,2,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,4,1,2,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,1,0
Pygocentrus nattereri,3,0,1,4,2,0,0,0,0,12,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,4,0,0,3,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,6,0
Rhineura floridana,6,0,0,4,0,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,1,0,0,0,1,2,0,0,0,2,3,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,3,0,3,2
Salvelinus sp. IW2-2015,6,1,1,0,0,2,1,1,0,5,0,0,0,1,1,1,0,2,0,0,0,2,1,0,0,0,0,3,1,0,0,0,1,0,0,0,0,1,0,1,0,2,0,0,0,2,1,1,1,0,0,0,0,0,1,0,3,0,2,1,1,0,1,1,0
Scleropages formosus,4,0,0,1,0,0,1,0,2,5,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,2,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,3,0,2,0,0,0,0,1,0,2,4,0,0,1,0,1,7,0
Sebastes umbrosus,8,0,1,1,1,0,1,0,0,9,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,0,1,0,7,0
Siniperca chuatsi,6,1,0,0,1,1,2,0,0,9,0,1,0,1,1,0,0,2,0,0,0,0,1,2,1,0,0,2,1,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,0
Strongylocentrotus purpuratus,1,3,1,0,1,1,1,0,0,6,0,1,0,0,1,0,1,2,0,2,1,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,3,3,2,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,2,0
Symphalangus syndactylus,1,0,0,0,0,1,2,4,4,1,0,6,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,3,1,3,0,0,0,0,0,2,3,0,4,0,2,0,1,2,1,0,0,0,4,0,0,0,0,0,2,1,0,0,0,0,6,0,1,0
Triplophysa dalaica,3,0,0,0,0,1,0,0,0,15,0,0,0,0,1,0,1,1,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,0,3,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,3,0
Xyrauchen texanus,7,0,2,2,0,0,1,0,0,16,0,0,0,0,0,2,0,1,1,4,0,1,0,1,0,0,0,2,0,0,0,1,1,2,1,1,0,0,0,1,2,2,0,0,0,3,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,9,0
Zalophus californianus,1,0,0,0,0,0,0,0,4,2,1,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,4,0,0,1,0,0,2,6,1,2,0,0,0,0,5,0,0,0,0,2,0,0,1,0,0,2,0,1,0,0,0,4,0,1,0
